frame,epoch time,sensor T,target T,drive T,df/f,time_s,sensor TF
4454,2021-12-20 10:44:09.587284736,22.61,21.5,20.14,0.051956,483.548423168,22.563595338787827
4455,2021-12-20 10:44:09.635313152,22.554285714285715,21.5,19.86,0.056029,483.596451584,22.561428201344377
4456,2021-12-20 10:44:09.712269056,22.572083333333335,21.5,19.97,0.055074,483.673407488,22.55917584421592
4457,2021-12-20 10:44:09.807792640,22.568947368421053,21.5,20.07210526315789,0.061231,483.768931072,22.55683887276621
4458,2021-12-20 10:44:09.909853952,22.49061224489796,21.5,20.05061224489796,0.052709,483.870992384,22.5544179642366
4459,2021-12-20 10:44:10.013685504,22.51421052631579,21.5,20.03421052631579,0.049904,483.97482393599995,22.55191386638662
4460,2021-12-20 10:44:10.110476544,22.533061224489792,21.5,20.011020408163265,0.050801,484.071614976,22.54932739604738
4461,2021-12-20 10:44:10.201483776,22.543030303030303,21.5,19.959090909090907,0.050356,484.16262220799996,22.546659437591792
4462,2021-12-20 10:44:10.329968384,22.539583333333336,21.5,19.82104166666667,0.055476,484.29110681599997,22.5439109413257
4463,2021-12-20 10:44:10.511942912,22.49772727272727,21.5,19.950454545454548,0.063299,484.473081344,22.54108292180398
4464,2021-12-20 10:44:10.569999104,22.497829153605018,21.5,19.923675548589344,0.047714,484.53113753599996,22.538176456075618
4465,2021-12-20 10:44:10.628065792,22.49793103448276,21.5,19.896896551724137,0.052328,484.58920422399996,22.535192681861723
4466,2021-12-20 10:44:10.714647296,22.49591836734694,21.5,19.882244897959183,0.054667,484.67578572799994,22.532132795670407
4467,2021-12-20 10:44:10.810522880,22.627567567567567,21.5,19.743513513513513,0.055067,484.77166131199994,22.528998050852305
4468,2021-12-20 10:44:10.914475264,22.48,21.5,19.683333333333334,0.054355,484.87561369599996,22.525789755600485
4469,2021-12-20 10:44:11.015943168,22.494857142857143,21.5,19.822,0.048705,484.97708159999996,22.522509270898386
4470,2021-12-20 10:44:11.110611968,22.464081632653063,21.5,19.8034693877551,0.050603,485.0717504,22.51915800841934
4471,2021-12-20 10:44:11.212331264,22.486190476190476,21.5,19.783809523809524,0.048195,485.173469696,22.515737428381094
4472,2021-12-20 10:44:11.311727360,22.48,21.5,19.763877551020407,0.050784,485.272865792,22.51224903735869
4473,2021-12-20 10:44:11.406456064,22.48,21.5,19.746216216216215,0.055797,485.367594496,22.508694386058956
4474,2021-12-20 10:44:11.507421184,22.49625,21.5,19.724166666666665,0.051933,485.468559616,22.5050750670598
4475,2021-12-20 10:44:11.613908224,22.48,21.5,19.70891891891892,0.048801,485.575046656,22.50139271251732
4476,2021-12-20 10:44:11.710055424,22.48,21.5,19.684042553191492,0.05012,485.671193856,22.497648991843707
4477,2021-12-20 10:44:11.812167168,22.48,21.5,19.665555555555557,0.056113,485.7733056,22.493845609358846
4478,2021-12-20 10:44:11.901534976,22.49625,21.5,19.641875,0.055506,485.86267340800003,22.489984301918433
4479,2021-12-20 10:44:12.007458816,22.46938775510204,21.5,19.624693877551017,0.04884,485.96859724800004,22.48606683652139
4480,2021-12-20 10:44:12.115816704,22.50052631578947,21.5,19.527894736842104,0.057847,486.07695513600004,22.482095007899343
