frame,epoch time,sensor T,target T,drive T,df/f,time_s,sensor TF
71,2021-12-20 12:30:33.199048704,20.95826086956522,22.0,17.036956521739132,0.043653,7.101550591999999,20.8768084407518
72,2021-12-20 12:30:33.314045184,20.887608695652176,22.0,17.19608695652174,0.055068,7.216547071999999,20.879231791933883
73,2021-12-20 12:30:33.455585280,20.913673469387756,22.0,17.175714285714285,0.04544,7.358087167999999,20.881742746251483
74,2021-12-20 12:30:33.538053120,20.76571428571429,22.0,17.16142857142857,0.041995,7.440555007999999,20.884338507295666
75,2021-12-20 12:30:33.597678592,20.923877551020407,22.0,17.224285714285713,0.044734,7.500180479999998,20.88701625278012
76,2021-12-20 12:30:33.702606592,20.867346938775512,22.0,17.26265306122449,0.04835,7.605108479999998,20.889773138737898
77,2021-12-20 12:30:33.817009664,20.881162790697672,22.0,17.39209302325581,0.047768,7.719511551999998,20.89260630365191
78,2021-12-20 12:30:33.953490432,20.912291666666665,22.0,17.415625,0.043195,7.855992319999999,20.895512872514242
79,2021-12-20 12:30:34.038995968,20.98,22.0,17.43,0.051795,7.941497855999999,20.898489960809687
80,2021-12-20 12:30:34.099174656,20.871304347826086,22.0,17.360434782608696,0.043508,8.001676543999999,20.901534678419253
81,2021-12-20 12:30:34.200904192,20.923877551020407,22.0,17.377142857142857,0.05355,8.10340608,20.904644133439778
82,2021-12-20 12:30:34.309402880,20.92767441860465,22.0,17.415116279069768,0.046994,8.211904767999998,20.907815435916
83,2021-12-20 12:30:34.440854528,20.959591836734692,22.0,17.427142857142858,0.048163,8.343356415999999,20.911045701481854
84,2021-12-20 12:30:34.529789952,20.97846153846154,22.0,17.32,0.040617,8.43229184,20.91433205490805
85,2021-12-20 12:30:34.597089792,20.969583333333333,22.0,17.359166666666667,0.046551,8.49959168,20.91767163355333
86,2021-12-20 12:30:34.700458752,20.888163265306122,22.0,17.378979591836735,0.051587,8.60296064,20.921061590717034
87,2021-12-20 12:30:34.808283648,20.896666666666665,22.0,17.400000000000002,0.052388,8.710785536,20.92449909889105
88,2021-12-20 12:30:34.938095872,20.94938775510204,22.0,17.41857142857143,0.046123,8.84059776,20.927981352909253
89,2021-12-20 12:30:35.028851712,20.913333333333334,22.0,17.434,0.048353,8.9313536,20.931505572993075
90,2021-12-20 12:30:35.097751040,20.943541666666665,22.0,17.54895833333333,0.050569,9.000252928,20.935069007691947
91,2021-12-20 12:30:35.201612800,20.969795918367346,22.0,17.61857142857143,0.048204,9.104114688,20.93866893671765
92,2021-12-20 12:30:35.322996224,20.946666666666665,22.0,17.498444444444445,0.045357,9.225498111999999,20.94230267367185
93,2021-12-20 12:30:35.472542720,20.96469387755102,22.0,17.60183673469388,0.054164,9.375044607999998,20.945967568666205
94,2021-12-20 12:30:35.560039680,20.813333333333333,22.0,17.76,0.046415,9.462541567999997,20.949661010834724
95,2021-12-20 12:30:35.608178688,20.940526315789473,22.0,17.569473684210525,0.046212,9.510680575999997,20.95338043073819
96,2021-12-20 12:30:35.701559808,20.875833333333333,22.0,17.66333333333333,0.04459,9.604061695999997,20.95712330266064
97,2021-12-20 12:30:35.805814016,20.91888888888889,22.0,17.83711111111111,0.048521,9.708315903999997,20.96088714679797
98,2021-12-20 12:30:35.927790848,20.98,22.0,17.78469387755102,0.048115,9.830292735999997,20.964669531338956
99,2021-12-20 12:30:36.020819968,21.012727272727275,22.0,17.652727272727272,0.044249,9.923321855999998,20.968468074439148
